round,global_avg_reward,global_reward_std,aggregation_method,attack_method,attack_epsilon,num_adv,total_migrations,flag
1,2.985837030513403,0.018303893138268672,krum,random_noise,10.0,1,0,
2,2.910537951415598,0.08030878446585961,krum,random_noise,10.0,1,0,
3,3.0076362938571686,0.04991549343206159,krum,random_noise,10.0,1,0,
4,2.9436964600531197,0.061659011164490754,krum,random_noise,10.0,1,0,
5,2.9709580277386913,0.11637264727272266,krum,random_noise,10.0,1,0,
6,2.982894604329755,0.06097590915890196,krum,random_noise,10.0,1,0,
7,2.913638443720919,0.08188538891881374,krum,random_noise,10.0,1,0,
8,2.992780046661159,0.04802547855067663,krum,random_noise,10.0,1,0,
9,2.894245499662214,0.08025665682617994,krum,random_noise,10.0,1,0,
10,2.970564830013441,0.03498062711157084,krum,random_noise,10.0,1,0,
